component,explained_variance_ratio,cumulative_explained_variance
PC1,0.12029015542513566,0.12029015542513566
PC2,0.07562486261109577,0.19591501803623143
PC3,0.061670219924058245,0.25758523796028965
PC4,0.05154807153692094,0.3091333094972106
PC5,0.050786501765806194,0.35991981126301675
PC6,0.04955327331079126,0.40947308457380804
PC7,0.048345943274374935,0.45781902784818296
PC8,0.04597379510396447,0.5037928229521474
PC9,0.04566941266165161,0.549462235613799
PC10,0.044347722276812156,0.5938099578906112
